period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
22,11/18/2021,Egg Fried Rice,6,Thursday,11.83,9.35,0.64,,,,18.67,13.5,12.36,16.6,9.35,0.12,9.35,10.52,1.72,0.8,7.58,-12.67,-7.5,-6.36,-10.6,-3.35,-1.58,,,,,,
23,11/19/2021,Egg Fried Rice,7,Friday,10.67,9.47,0.74,,,,13.67,13.33,8.45,11.13,9.47,0.12,9.47,10.58,0.06,1.11,13.64,-6.67,-6.33,-1.45,-4.13,-2.47,-6.64,,,,,,
24,11/20/2021,Egg Fried Rice,6,Saturday,9.25,9.6,0.63,,,,9.67,13.67,11.29,9,9.6,0.12,9.6,9.76,-0.82,1.11,11.78,-3.67,-7.67,-5.29,-3,-3.6,-5.78,,,,,,
25,11/22/2021,Egg Fried Rice,13,Monday,8.25,9.72,1.34,,,,6.33,12.5,13,7.45,9.72,0.12,9.72,8.76,-1.01,1.14,10.21,6.67,0.5,0,5.55,3.28,2.79,,,,,,
26,11/23/2021,Egg Fried Rice,13,Tuesday,8.33,9.84,1.32,,,,8.67,11.17,13.75,10.31,9.84,0.12,9.84,8.7,-0.06,1,7.71,4.33,1.83,-0.75,2.69,3.16,5.29,,,,,,
27,11/24/2021,Egg Fried Rice,5,Wednesday,8.58,9.97,0.5,,,,10.67,10.17,12.91,11.7,9.97,0.12,9.97,9.48,0.78,0.95,8.18,-5.67,-5.17,-7.91,-6.7,-4.97,-3.18,,,,,,
28,11/25/2021,Egg Fried Rice,5,Thursday,7.92,10.09,0.5,,,,10.33,8.33,5.53,8.24,10.09,0.12,10.09,11.34,1.86,0.8,8.16,-5.33,-3.33,-0.53,-3.24,-5.09,-3.16,,,,,,
29,11/26/2021,Egg Fried Rice,9,Friday,7.58,10.22,0.88,,,,7.67,8.17,7.17,6.57,10.22,0.12,10.22,11.41,0.07,1.11,14.71,1.33,0.83,1.83,2.43,-1.22,-5.71,,,,,,
30,11/27/2021,Egg Fried Rice,7,Saturday,8.42,10.34,0.68,,,,6.33,8.5,8.72,7.82,10.34,0.12,10.34,10.53,-0.88,1.11,12.72,0.67,-1.5,-1.72,-0.82,-3.34,-5.72,,,,,,
31,11/29/2021,Egg Fried Rice,4,Monday,9.08,10.47,0.38,,,,7,8.67,8.68,7.4,10.47,0.12,10.47,9.44,-1.09,1.14,11.02,-3,-4.67,-4.68,-3.4,-6.47,-7.02,,,,,,
32,11/30/2021,Egg Fried Rice,18,Tuesday,9.33,10.59,1.7,,,,6.67,7.17,7.27,5.65,10.59,0.12,10.59,9.36,-0.07,1,8.3,11.33,10.83,10.73,12.35,7.41,9.7,,,,,,
33,12/1/2021,Egg Fried Rice,10,Wednesday,9.58,10.72,0.93,,,,9.67,8,11.87,12.02,10.72,0.12,10.72,10.19,0.83,0.95,8.79,0.33,2,-1.87,-2.02,-0.72,1.21,,,,,,
34,12/2/2021,Egg Fried Rice,8,Thursday,10.5,10.84,0.74,,,,10.67,8.83,7.73,10.98,10.84,0.12,10.84,12.18,1.99,0.8,8.76,-2.67,-0.83,0.27,-2.98,-2.84,-0.76,,,,,,
35,12/3/2021,Egg Fried Rice,9,Friday,10.42,10.96,0.82,,,,12,9.33,7.6,9.44,10.96,0.12,10.96,12.25,0.07,1.11,15.78,-3,-0.33,1.4,-0.44,-1.96,-6.78,,,,,,
36,12/4/2021,Egg Fried Rice,10,Saturday,9.75,11.09,0.9,,,,9,9.33,9.99,9.21,11.09,0.12,11.09,11.29,-0.95,1.11,13.63,1,0.67,0.01,0.79,-1.09,-3.63,,,,,,
37,12/6/2021,Egg Fried Rice,12,Monday,10,11.21,1.07,,,,9,9.83,7.94,9.62,11.21,0.12,11.21,10.11,-1.18,1.14,11.81,3,2.17,4.06,2.38,0.79,0.19,,,,,,
38,12/7/2021,Egg Fried Rice,9,Tuesday,10.67,11.34,0.79,,,,10.33,11.17,13.31,10.85,11.34,0.12,11.34,10.02,-0.09,1,8.89,-1.33,-2.17,-4.31,-1.85,-2.34,0.11,,,,,,
39,12/8/2021,Egg Fried Rice,11,Wednesday,11.42,11.46,0.96,,,,10.33,9.67,9.34,9.89,11.46,0.12,11.46,10.9,0.88,0.95,9.4,0.67,1.33,1.66,1.11,-0.46,1.6,,,,,,
40,12/9/2021,Egg Fried Rice,10,Thursday,11.92,11.59,0.86,,,,10.67,9.83,9.79,10.46,11.59,0.12,11.59,13.02,2.12,0.8,9.36,-0.67,0.17,0.21,-0.46,-1.59,0.64,,,,,,
41,12/10/2021,Egg Fried Rice,15,Friday,11.75,11.71,1.28,,,,10,10.17,10.03,10.23,11.71,0.12,11.71,13.08,0.07,1.11,16.86,5,4.83,4.97,4.77,3.29,-1.86,,,,,,
42,12/11/2021,Egg Fried Rice,13,Saturday,11.42,11.84,1.1,,,,12,11.17,12.17,12.69,11.84,0.12,11.84,12.06,-1.02,1.11,14.56,1,1.83,0.83,0.31,1.16,-1.56,,,,,,
43,12/13/2021,Egg Fried Rice,15,Monday,11.75,11.96,1.25,,,,12.67,11.67,12.29,12.85,11.96,0.12,11.96,10.79,-1.27,1.14,12.59,2.33,3.33,2.71,2.15,3.04,2.41,,,,,,
44,12/14/2021,Egg Fried Rice,4,Tuesday,11.75,12.08,0.33,,,,14.33,12.17,12.01,13.96,12.08,0.12,12.08,10.68,-0.1,1,9.47,-10.33,-8.17,-8.01,-9.96,-8.08,-5.47,,,,,,
45,12/15/2021,Egg Fried Rice,12,Wednesday,10.83,12.21,0.98,,,,10.67,11.33,8.44,8.82,12.21,0.12,12.21,11.61,0.92,0.95,10.01,1.33,0.67,3.56,3.18,-0.21,1.99,,,,,,
46,12/16/2021,Egg Fried Rice,13,Thursday,10.58,12.33,1.05,,,,10.33,11.5,11.5,10.46,12.33,0.12,12.33,13.85,2.25,0.8,9.96,2.67,1.5,1.5,2.54,0.67,3.04,,,,,,
47,12/17/2021,Egg Fried Rice,12,Friday,12.33,12.46,0.96,,,,9.67,12,14.06,11.77,12.46,0.12,12.46,13.92,0.06,1.11,17.94,2.33,0,-2.06,0.23,-0.46,-5.94,,,,,,
48,12/18/2021,Egg Fried Rice,5,Saturday,13.92,12.58,0.4,,,,12.33,11.5,10.85,11.89,12.58,0.12,12.58,12.82,-1.1,1.11,15.48,-7.33,-6.5,-5.85,-6.89,-7.58,-10.48,,,,,,
49,12/20/2021,Egg Fried Rice,20,Monday,14.42,12.71,1.57,,,,10,10.17,9.73,8.34,12.71,0.12,12.71,11.46,-1.36,1.14,13.38,10,9.83,10.27,11.66,7.29,6.62,,,,,,
50,12/21/2021,Egg Fried Rice,20,Tuesday,15.33,12.83,1.56,,,,12.33,11,13.22,14.35,12.83,0.12,12.83,11.34,-0.12,1,10.05,7.67,9,6.78,5.65,7.17,9.95,,,,,,
51,12/22/2021,Egg Fried Rice,15,Wednesday,17,12.95,1.16,,,,15,13.67,15.77,17.26,12.95,0.12,12.95,12.31,0.97,0.95,10.62,0,1.33,-0.77,-2.26,2.05,4.38,,,,,,
52,12/23/2021,Egg Fried Rice,16,Thursday,,13.08,1.22,,,,18.33,14.17,12.45,16.1,13.08,0.12,13.08,14.69,2.38,0.8,10.57,-2.33,1.83,3.55,-0.1,2.92,5.43,,,,,,
53,12/24/2021,Egg Fried Rice,20,Friday,,13.2,1.51,,,,17,14.67,15.37,16.05,13.2,0.12,13.2,14.75,0.06,1.11,19.01,3,5.33,4.63,3.95,6.8,0.99,,,,,,
54,12/25/2021,Egg Fried Rice,17,Saturday,,13.33,1.28,,,,17,16,14.86,18.09,13.33,0.12,13.33,13.58,-1.17,1.11,16.4,0,1,2.14,-1.09,3.67,0.6,,,,,,
,,,,,,,,,,,17.67,18,17.66,17.53,0,-13.33,13.45,6.9,-6.68,1.14,14.17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3/7/2022,Egg Fried Rice,28,Monday,,20.28,1.38,1.36,20.56195839,-0.278721579,,,,15.1,-0.28,20.56,,-0.28,20.56,1.36,,,,,12.9,,,,,,,alpha for expontital smoothing,0.617042756
2,3/8/2022,Egg Fried Rice,25,Tuesday,,20,1.25,1.12,,,,,,23.06,20,20.42,20.28,19.57,19.99,1.12,22.65,,,,1.94,4.72,2.35,,,,,,
3,3/9/2022,Egg Fried Rice,9,Wednesday,,19.73,0.46,1.01,,,,,,24.26,19.73,10.04,40.43,33.54,15.17,1.01,40.13,,,,-15.26,-31.43,-31.13,,,,,alpha for holt's,1
4,3/10/2022,Egg Fried Rice,28,Thursday,26.08,19.45,1.44,0.81,,,20.67,,,14.84,19.45,4.86,29.76,41.28,9.22,0.81,39.64,7.33,,,13.16,-1.76,-11.64,,Moving Average 3d,MSE,46.44,beta for holts,0.50161547
5,3/11/2022,Egg Fried Rice,32,Friday,25.5,19.17,1.67,0.92,,,20.67,,,22.96,19.17,2.28,24.31,41.63,2.12,0.92,46.38,11.33,,,9.04,7.69,-14.38,,,MAD,5.44,,
6,3/12/2022,Egg Fried Rice,35,Saturday,25.67,18.89,1.85,1.04,,,23,,,28.54,18.89,1,21.45,36.06,-4.03,1.04,45.7,12,,,6.46,13.55,-10.7,,,MAPE,0.54,,
7,3/14/2022,Egg Fried Rice,27,Monday,24.33,18.61,1.45,,,,31.67,26.17,32.66,32.53,18.61,0.36,19.89,26.54,-8.42,1.36,43.44,-4.67,0.83,-5.66,-5.53,7.11,-16.44,,Moving Average 6d,MSE,39.95,alpha for winter's,0.299539651
8,3/15/2022,Egg Fried Rice,19,Tuesday,20.75,18.33,1.04,,,,31.33,26,27.6,29.12,18.33,0.04,18.97,17.63,-8.82,1.11,20.16,-12.33,-7,-8.6,-10.12,0.03,-1.16,,,MAD,4.51,beta for winter's,0.80039767
9,3/16/2022,Egg Fried Rice,17,Wednesday,16.67,18.05,0.94,,,,27,25,20.38,22.87,18.05,-0.12,18.37,11.6,-6.58,1,8.78,-10,-8,-3.38,-5.87,-1.37,8.22,,,MAPE,0.57,gamma for holts,0.042960176
10,3/17/2022,Egg Fried Rice,4,Thursday,13.58,17.77,0.23,,,,21,26.33,19.92,19.25,17.77,-0.2,17.93,10.18,-2.45,0.8,4.01,-17,-22.33,-15.92,-15.25,-13.93,-0.01,,Weighted average model,MSE,30.58,,
11,3/18/2022,Egg Fried Rice,13,Friday,12.75,17.5,0.74,,,,13.33,22.33,13,9.84,17.5,-0.24,17.57,11.25,0.36,0.9,6.95,-0.33,-9.33,0,3.16,-4.57,6.05,,,MAD,3.87,w1,0.171523034
12,3/19/2022,Egg Fried Rice,5,Saturday,12.42,17.22,0.29,,,,11.33,19.17,14.43,11.79,17.22,-0.26,17.26,13.18,1.62,1.02,11.87,-6.33,-14.17,-9.43,-6.79,-12.26,-6.87,,,MAPE,0.47,w2,0.08971319
13,3/21/2022,Egg Fried Rice,20,Monday,13.08,16.94,1.18,,,,7.33,14.17,10.81,7.6,16.94,-0.27,16.96,14.18,1.13,1.33,19.65,12.67,5.83,9.19,12.4,3.04,0.35,,Exponential smoothing,MSE,46.61,w3,0
14,3/22/2022,Egg Fried Rice,16,Tuesday,13.58,16.66,0.96,,,,12.67,13,15.81,15.25,16.66,-0.27,16.67,15.22,1.06,1.11,16.98,3.33,3,0.19,0.75,-0.67,-0.98,,,MAD,5.2,w4,0
15,3/23/2022,Egg Fried Rice,16,Wednesday,13.75,16.38,0.98,,,,13.67,12.5,16.35,15.71,16.38,-0.28,16.39,16.22,1.01,1.02,16.61,2.33,3.5,-0.35,0.29,-0.39,-0.61,,,MAPE,0.51,w5,0.34502255
16,3/24/2022,Egg Fried Rice,13,Thursday,13.83,16.1,0.81,,,,17.33,12.33,14.27,15.89,16.1,-0.28,16.1,17.81,1.47,0.84,14.46,-4.33,0.67,-1.27,-2.89,-3.1,-1.46,,Holt's model ,MSE,53.46,w6,0.735333607
17,3/25/2022,Egg Fried Rice,10,Friday,13.5,15.82,0.63,,,,15,13.83,13.24,14.11,15.82,-0.28,15.82,18.62,0.94,0.93,17.87,-5,-3.83,-3.24,-4.11,-5.82,-7.87,,,MAD,4.86,,
18,3/26/2022,Egg Fried Rice,10,Saturday,13.42,15.54,0.64,,,,13,13.33,10.8,11.57,15.54,-0.28,15.55,18.21,-0.14,1.03,20.24,-3,-3.33,-0.8,-1.57,-5.55,-10.24,,,MAPE,0.51,,
19,3/28/2022,Egg Fried Rice,16,Monday,13.25,15.27,1.05,,,,11,14.17,11.68,10.6,15.27,-0.28,15.27,16.11,-1.71,1.32,23.89,5,1.83,4.32,5.4,0.73,-7.89,,Winter's model ,MSE,58.29,,
20,3/29/2022,Egg Fried Rice,16,Tuesday,12.92,14.99,1.07,,,,12,13.5,14.46,13.93,14.99,-0.28,14.99,14.14,-1.92,1.11,15.97,4,2.5,1.54,2.07,1.01,0.03,,,MAD,5,,
21,3/30/2022,Egg Fried Rice,15,Wednesday,12.92,14.71,1.02,,,,14,13.5,15.8,15.21,14.71,-0.28,14.71,12.88,-1.39,1.02,12.46,1,1.5,-0.8,-0.21,0.29,2.54,,,MAPE,0.42,,
22,3/31/2022,Egg Fried Rice,12,Thursday,13.58,14.43,0.83,,,,15.67,13.33,14.67,15.08,14.43,-0.28,14.43,13.18,-0.04,0.84,9.68,-3.67,-1.33,-2.67,-3.08,-2.43,2.32,,,,,,
23,4/1/2022,Egg Fried Rice,7,Friday,13.17,14.15,0.49,,,,14.33,13.17,12.38,13.18,14.15,-0.28,14.15,13.8,0.48,0.92,12.14,-7.33,-6.17,-5.38,-6.18,-7.15,-5.14,,,,,,
24,4/2/2022,Egg Fried Rice,13,Saturday,12.25,13.87,0.94,,,,11.33,12.67,9.27,9.37,13.87,-0.28,13.87,14.05,0.3,1.03,14.66,1.67,0.33,3.73,3.63,-0.87,-1.66,,,,,,
25,4/4/2022,Egg Fried Rice,21,Monday,12.08,13.59,1.54,,,,10.67,13.17,12.04,11.61,13.59,-0.28,13.59,13.17,-0.65,1.31,18.75,10.33,7.83,8.96,9.39,7.41,2.25,,,,,,
26,4/5/2022,Egg Fried Rice,6,Tuesday,12.42,13.32,0.45,,,,13.67,14,17.9,17.4,13.32,-0.28,13.32,12.38,-0.76,1.11,13.86,-7.67,-8,-11.9,-11.4,-7.32,-7.86,,,,,,
27,4/6/2022,Egg Fried Rice,14,Wednesday,13,13.04,1.07,,,,13.33,12.33,11.41,10.37,13.04,-0.28,13.04,11.95,-0.5,1.02,11.9,0.67,1.67,2.59,3.63,0.96,2.1,,,,,,
28,4/7/2022,Egg Fried Rice,11,Thursday,12.83,12.76,0.86,,,,13.67,12.17,11.22,12.61,12.76,-0.28,12.76,12.5,0.34,0.85,9.77,-2.67,-1.17,-0.22,-1.61,-1.76,1.23,,,,,,
29,4/8/2022,Egg Fried Rice,12,Friday,13.5,12.48,0.96,,,,10.33,12,11.39,11.62,12.48,-0.28,12.48,13.02,0.49,0.93,11.92,1.67,0,0.61,0.38,-0.48,0.08,,,,,,
30,4/9/2022,Egg Fried Rice,15,Saturday,14.75,12.2,1.23,,,,12.33,12.83,12.47,11.85,12.2,-0.28,12.2,13.03,0.1,1.02,13.85,2.67,2.17,2.53,3.15,2.8,1.15,,,,,,
31,4/11/2022,Egg Fried Rice,17,Monday,14.42,11.92,1.43,,,,12.67,13.17,14.39,13.79,11.92,-0.28,11.92,11.96,-0.84,1.29,17,4.33,3.83,2.61,3.21,5.08,0,,,,,,
32,4/12/2022,Egg Fried Rice,18,Tuesday,13.58,11.64,1.55,,,,14.67,12.5,14.88,15.77,11.64,-0.28,11.64,10.94,-0.98,1.11,12.29,3.33,5.5,3.12,2.23,6.36,5.71,,,,,,
33,4/13/2022,Egg Fried Rice,17,Wednesday,12.67,11.36,1.5,,,,16.67,14.5,16.76,17.15,11.36,-0.28,11.36,10.29,-0.72,1.03,10.24,0.33,2.5,0.24,-0.15,5.64,6.76,,,,,,
34,4/14/2022,Egg Fried Rice,4,Thursday,11.83,11.09,0.36,,,,17.33,15,16.16,17.06,11.09,-0.28,11.09,10.57,0.08,0.86,8.24,-13.33,-11,-12.16,-13.06,-7.09,-4.24,,,,,,
35,4/15/2022,Egg Fried Rice,9,Friday,11.42,10.81,0.83,,,,13,13.83,9.1,9,10.81,-0.28,10.81,10.94,0.31,0.93,9.89,-4,-4.83,-0.1,0,-1.81,-0.89,,,,,,
36,4/16/2022,Egg Fried Rice,7,Saturday,10.67,10.53,0.66,,,,10,13.33,9.02,9,10.53,-0.28,10.53,10.97,0.09,1.02,11.49,-3,-6.33,-2.02,-2,-3.53,-4.49,,,,,,
37,4/18/2022,Egg Fried Rice,15,Monday,10.75,10.25,1.46,,,,6.67,12,9.53,7.77,10.25,-0.28,10.25,10.14,-0.65,1.28,14.17,8.33,3,5.47,7.23,4.75,0.83,,,,,,
38,4/19/2022,Egg Fried Rice,15,Tuesday,11.42,9.97,1.5,,,,10.33,11.67,13.46,12.23,9.97,-0.28,9.97,9.36,-0.76,1.1,10.48,4.67,3.33,1.54,2.77,5.03,4.52,,,,,,
39,4/20/2022,Egg Fried Rice,11,Wednesday,12.17,9.69,1.13,,,,12.33,11.17,14.52,13.94,9.69,-0.28,9.69,8.84,-0.56,1.03,8.87,-1.33,-0.17,-3.52,-2.94,1.31,2.13,,,,,,
40,4/21/2022,Egg Fried Rice,11,Thursday,,9.41,1.17,,,,13.67,10.17,11,12.13,9.41,-0.28,9.41,9.04,0.05,0.87,7.19,-2.67,0.83,0,-1.13,1.59,3.81,,,,,,
41,4/22/2022,Egg Fried Rice,10,Friday,,9.13,1.09,,,,12.33,11.33,10.48,11.43,9.13,-0.28,9.13,9.31,0.22,0.93,8.47,-2.33,-1.33,-0.48,-1.43,0.87,1.53,,,,,,
42,4/23/2022,Egg Fried Rice,15,Saturday,,8.86,1.69,,,,10.67,11.5,10.21,10.55,8.86,-0.28,8.86,9.28,0.02,1.02,9.7,4.33,3.5,4.79,4.45,6.14,5.3,,,,,,
,,,,,,,,,,,12,12.83,13.71,13.3,0,-4.58,8.58,6.51,-2.21,1.27,11.81,,,,,,,,,,,,
