period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
16,11/11/2021,Paneer 65,3,Thursday,8.33,12.45,0.24,,,,8,6.17,5.45,7.99,12.45,0.47,12.45,13.66,1.13,1,13.96,-5,-3.17,-2.45,-4.99,-9.45,-10.96,,Holt's model ,MSE,50.23,w6,0
17,11/12/2021,Paneer 65,11,Friday,11.17,12.93,0.85,,,,5.33,6.33,5.78,4.49,12.93,0.47,12.93,14.33,0.67,1.01,14.93,5.67,4.67,5.22,6.51,-1.93,-3.93,,,MAD,5.52,,
18,11/13/2021,Paneer 65,9,Saturday,14.75,13.4,0.67,,,,7.67,7.33,6.3,9.06,13.4,0.47,13.4,15.15,0.82,0.86,12.84,1.33,1.67,2.7,-0.06,-4.4,-3.84,,,MAPE,0.64,,
19,11/15/2021,Paneer 65,17,Monday,19.17,13.88,1.23,,,,7.67,7.83,8.34,9.02,13.88,0.47,13.88,15.28,0.13,1.06,17,9.33,9.17,8.66,7.98,3.12,0,,Winter's model ,MSE,47.95,,
20,11/16/2021,Paneer 65,32,Tuesday,22.67,14.35,2.23,,,,12.33,8.83,6.95,14.62,14.35,0.47,14.35,14.64,-0.63,1.18,18.22,19.67,23.17,25.05,17.38,17.65,13.78,,,MAD,4.89,,
21,11/17/2021,Paneer 65,24,Wednesday,23.25,14.82,1.62,,,,19.33,13.5,10.47,26.83,14.82,0.47,14.82,15.03,0.38,0.81,11.32,4.67,10.5,13.53,-2.83,9.18,12.68,,,MAPE,0.7,,
22,11/18/2021,Paneer 65,41,Thursday,23.75,15.3,2.68,,,,24.33,16,12.63,24.84,15.3,0.47,15.3,15.4,0.37,1,15.34,16.67,25,28.37,16.16,25.7,25.66,,,,,,
23,11/19/2021,Paneer 65,15,Friday,23.33,15.77,0.95,,,,32.33,22.33,20.18,36.19,15.77,0.47,15.77,15.73,0.34,1.01,15.91,-17.33,-7.33,-5.18,-21.19,-0.77,-0.91,,,,,,
24,11/20/2021,Paneer 65,12,Saturday,21.42,16.24,0.74,,,,26.67,23,20.67,21.31,16.24,0.47,16.24,16.75,1.02,0.86,13.77,-14.67,-11,-8.67,-9.31,-4.24,-1.77,,,,,,
25,11/22/2021,Paneer 65,20,Monday,18.75,16.72,1.2,,,,22.67,23.5,24.71,14.77,16.72,0.47,16.72,17.28,0.53,1.06,18.9,-2.67,-3.5,-4.71,5.23,3.28,1.1,,,,,,
26,11/23/2021,Paneer 65,24,Tuesday,17.42,17.19,1.4,,,,15.67,24,24,18.44,17.19,0.47,17.19,17.05,-0.23,1.18,21.05,8.33,0,0,5.56,6.81,2.95,,,,,,
27,11/24/2021,Paneer 65,9,Wednesday,17.67,17.66,0.51,,,,18.67,22.67,18.92,22.35,17.66,0.47,17.66,18,0.95,0.81,13.6,-9.67,-13.67,-9.92,-13.35,-8.66,-4.6,,,,,,
28,11/25/2021,Paneer 65,24,Thursday,18,18.14,1.32,,,,17.67,20.17,29.49,12.97,18.14,0.47,18.14,18.77,0.77,1,18.86,6.33,3.83,-5.49,11.03,5.86,5.14,,,,,,
29,11/26/2021,Paneer 65,16,Friday,18.67,18.61,0.86,,,,19,17.33,17.2,20.72,18.61,0.47,18.61,19.29,0.52,1.01,19.72,-3,-1.33,-1.2,-4.72,-2.61,-3.72,,,,,,
30,11/27/2021,Paneer 65,14,Saturday,19.75,19.08,0.73,,,,16.33,17.5,13.91,17.4,19.08,0.47,19.08,20.38,1.09,0.86,16.97,-2.33,-3.5,0.09,-3.4,-5.08,-2.97,,,,,,
31,11/29/2021,Paneer 65,22,Monday,20.5,19.56,1.12,,,,18,17.83,19.8,15.01,19.56,0.47,19.56,20.75,0.37,1.06,22.85,4,4.17,2.2,6.99,2.44,-0.85,,,,,,
32,11/30/2021,Paneer 65,30,Tuesday,20.67,20.03,1.5,,,,17.33,18.17,19.83,19.92,20.03,0.47,20.03,20.15,-0.6,1.18,24.94,12.67,11.83,10.17,10.08,9.97,5.06,,,,,,
33,12/1/2021,Paneer 65,16,Wednesday,21.17,20.51,0.78,,,,22,19.17,13.23,27,20.51,0.47,20.51,20.9,0.75,0.81,15.82,-6,-3.17,2.77,-11,-4.51,0.18,,,,,,
34,12/2/2021,Paneer 65,26,Thursday,21.33,20.98,1.24,,,,22.67,20.33,23.64,19.28,20.98,0.47,20.98,21.52,0.62,1,21.56,3.33,5.67,2.36,6.72,5.02,4.44,,,,,,
35,12/3/2021,Paneer 65,16,Friday,21.08,21.45,0.75,,,,24,20.67,20.83,24,21.45,0.47,21.45,21.93,0.41,1.01,22.33,-8,-4.67,-4.83,-8,-5.45,-6.33,,,,,,
36,12/4/2021,Paneer 65,20,Saturday,21.17,21.93,0.91,,,,19.33,20.67,17.77,18.38,21.93,0.47,21.93,23.1,1.17,0.86,19.15,0.67,-0.67,2.23,1.62,-1.93,0.85,,,,,,
37,12/6/2021,Paneer 65,18,Monday,21.25,22.4,0.8,,,,20.67,21.67,21.83,19.52,22.4,0.47,22.4,23.52,0.42,1.06,25.81,-2.67,-3.67,-3.83,-1.52,-4.4,-7.81,,,,,,
38,12/7/2021,Paneer 65,31,Tuesday,21.33,22.87,1.36,,,,18,21,23.66,18.45,22.87,0.47,22.87,22.87,-0.65,1.18,28.25,13,10,7.34,12.55,8.13,2.75,,,,,,
39,12/8/2021,Paneer 65,16,Wednesday,21.75,23.35,0.69,,,,23,21.17,17.59,27.26,23.35,0.47,23.35,23.77,0.9,0.81,18,-7,-5.17,-1.59,-11.26,-7.35,-2,,,,,,
40,12/9/2021,Paneer 65,27,Thursday,22.75,23.82,1.13,,,,21.67,21.17,23.88,19.35,23.82,0.47,23.82,24.49,0.72,1,24.56,5.33,5.83,3.12,7.65,3.18,2.44,,,,,,
41,12/10/2021,Paneer 65,16,Friday,23.58,24.29,0.66,,,,24.67,21.33,20.86,24.72,24.29,0.47,24.29,24.95,0.46,1.01,25.44,-8.67,-5.33,-4.86,-8.72,-8.29,-9.44,,,,,,
42,12/11/2021,Paneer 65,25,Saturday,24.33,24.77,1.01,,,,19.67,21.33,20.7,18.6,24.77,0.47,24.77,26.22,1.27,0.86,21.79,5.33,3.67,4.3,6.4,0.23,3.21,,,,,,
43,12/13/2021,Paneer 65,25,Monday,24.92,25.24,0.99,,,,22.67,22.17,20.35,23.09,25.24,0.47,25.24,26.62,0.39,1.06,29.22,2.33,2.83,4.65,1.91,-0.24,-4.22,,,,,,
44,12/14/2021,Paneer 65,34,Tuesday,26.08,25.71,1.32,,,,22,23.33,25.01,24.43,25.71,0.47,25.71,25.79,-0.83,1.18,31.85,12,10.67,8.99,9.57,8.29,2.15,,,,,,
45,12/15/2021,Paneer 65,22,Wednesday,26.75,26.19,0.84,,,,28,23.83,20.32,31.15,26.19,0.47,26.19,26.68,0.89,0.81,20.24,-6,-1.83,1.68,-9.15,-4.19,1.76,,,,,,
46,12/16/2021,Paneer 65,28,Thursday,27,26.66,1.05,,,,27,24.83,27.39,24.72,26.66,0.47,26.66,27.39,0.71,1,27.46,1,3.17,0.61,3.28,1.34,0.54,,,,,,
47,12/17/2021,Paneer 65,29,Friday,26.42,27.14,1.07,,,,28,25,23.3,27.02,27.14,0.47,27.14,27.82,0.43,1.01,28.34,1,4,5.7,1.98,1.86,0.66,,,,,,
48,12/18/2021,Paneer 65,20,Saturday,26,27.61,0.72,,,,26.33,27.17,25.2,28.41,27.61,0.47,27.61,29.17,1.35,0.86,24.23,-6.33,-7.17,-5.2,-8.41,-7.61,-4.23,,,,,,
49,12/20/2021,Paneer 65,33,Monday,26.83,28.08,1.18,,,,25.67,26.33,26.39,22.5,28.08,0.47,28.08,29.56,0.39,1.06,32.42,7.33,6.67,6.61,10.5,4.92,0.58,,,,,,
50,12/21/2021,Paneer 65,19,Tuesday,26.17,28.56,0.67,,,,27.33,27.67,29.68,29.87,28.56,0.47,28.56,28.61,-0.95,1.18,35.3,-8.33,-8.67,-10.68,-10.87,-9.56,-16.3,,,,,,
51,12/22/2021,Paneer 65,32,Wednesday,26.83,29.03,1.1,,,,24,25.17,23.7,22.24,29.03,0.47,29.03,29.56,0.95,0.81,22.44,8,6.83,8.3,9.76,2.97,9.56,,,,,,
52,12/23/2021,Paneer 65,28,Thursday,,29.5,0.95,,,,28,26.83,27.5,29.09,29.5,0.47,29.5,30.31,0.75,1,30.38,0,1.17,0.5,-1.09,-1.5,-2.38,,,,,,
53,12/24/2021,Paneer 65,21,Friday,,29.98,0.7,,,,26.33,26.83,26.64,28.33,29.98,0.47,29.98,30.75,0.43,1.01,31.32,-5.33,-5.83,-5.64,-7.33,-8.98,-10.32,,,,,,
54,12/25/2021,Paneer 65,36,Saturday,,30.45,1.18,,,,27,25.5,25.02,23.18,30.45,0.47,30.45,32.19,1.44,0.86,26.76,9,10.5,10.98,12.82,5.55,9.24,,,,,,
,,,,,,,,,,,28.33,28.17,29.37,32.18,0,-30.45,30.92,25.75,-6.44,1.06,35.72,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3/7/2022,Paneer 65,40,Monday,,32.03,1.25,1.33,32.41286286,-0.387312312,,,,24.69,-0.39,32.41,,-0.39,32.41,1.33,,,,,15.31,,,,,,,alpha for expontital smoothing,0.47744927
2,3/8/2022,Paneer 65,32,Tuesday,,31.64,1.01,1.02,,,,,,32,31.64,32.22,32.03,31.25,31.84,1.02,32.8,,,,0,-0.03,-0.8,,,,,,
3,3/9/2022,Paneer 65,32,Wednesday,,31.25,1.02,1.05,,,,,,32,31.25,15.75,63.86,40.25,15.07,1.05,66.17,,,,0,-31.86,-34.17,,,,,alpha for holt's,1
4,3/10/2022,Paneer 65,47,Thursday,36.33,30.86,1.52,0.86,,,34.67,,,32,30.86,7.6,47,42.09,5.36,0.86,47.37,12.33,,,15,0,-0.37,,Moving Average 3d,MSE,83.11,beta for holts,0.505087416
5,3/11/2022,Paneer 65,40,Friday,36.42,30.48,1.31,0.99,,,37,,,39.16,30.48,3.57,38.46,35.95,-3.08,0.99,47.12,3,,,0.84,1.54,-7.12,,,MAD,7.68,,
6,3/12/2022,Paneer 65,27,Saturday,36,30.09,0.9,0.91,,,39.67,,,39.56,30.09,1.57,34.04,33.02,-2.97,0.91,29.89,-12.67,,,-12.56,-7.04,-2.89,,,MAPE,0.43,,
7,3/14/2022,Paneer 65,40,Monday,33.33,29.7,1.35,,,,38,36.33,29.56,33.56,29.7,0.58,31.66,24.73,-6.87,1.33,40,2,3.67,10.44,6.44,8.34,0,,Moving Average 6d,MSE,70.4,alpha for winter's,0.68610215
8,3/15/2022,Paneer 65,33,Tuesday,30.25,29.31,1.13,,,,35.67,36.33,42.09,36.64,29.31,0.09,30.28,25.36,-1.36,1.02,18.19,-2.67,-3.33,-9.09,-3.64,2.72,14.81,,,MAD,7.09,beta for winter's,0.734209348
9,3/16/2022,Paneer 65,26,Wednesday,29,28.93,0.9,,,,33.33,36.5,35.49,34.9,28.93,-0.15,29.41,29.5,2.67,0.9,21.69,-7.33,-10.5,-9.49,-8.9,-3.41,4.31,,,MAPE,0.44,gamma for holts,0.533265193
10,3/17/2022,Paneer 65,21,Thursday,28.5,28.54,0.74,,,,33,35.5,27.56,30.65,28.54,-0.27,28.78,34.86,4.65,0.79,25.44,-12,-14.5,-6.56,-9.65,-7.78,-4.44,,Weighted average model,MSE,69.17,,
11,3/18/2022,Paneer 65,29,Friday,26.83,28.15,1.03,,,,26.67,31.17,29,26.04,28.15,-0.33,28.27,33.5,0.23,0.92,36.17,2.33,-2.17,0,2.96,0.73,-7.17,,,MAD,6.86,w1,0.041176439
12,3/19/2022,Paneer 65,23,Saturday,25.92,27.77,0.83,,,,25.33,29.33,30.34,27.45,27.77,-0.36,27.82,31.51,-1.4,0.91,30.71,-2.33,-6.33,-7.34,-4.45,-4.82,-7.71,,,MAPE,0.4,w2,0
13,3/21/2022,Paneer 65,38,Monday,27.17,27.38,1.39,,,,24.33,28.67,25.06,25.33,27.38,-0.37,27.41,24.34,-5.64,1.26,38,13.67,9.33,12.94,12.67,10.59,0,,Exponential smoothing,MSE,76.88,w3,0.262881673
14,3/22/2022,Paneer 65,15,Tuesday,27.33,26.99,0.56,,,,30,28.33,31.53,31.38,26.99,-0.38,27,22.84,-2.6,1.09,20.41,-15,-13.33,-16.53,-16.38,-12,-5.41,,,MAD,7.43,w4,0
15,3/23/2022,Paneer 65,33,Wednesday,26.5,26.6,1.24,,,,25.33,25.33,20.72,23.56,26.6,-0.38,26.61,25.67,1.39,0.94,19.12,7.67,7.67,12.28,9.44,6.39,13.88,,,MAPE,0.4,w5,0
16,3/24/2022,Paneer 65,29,Thursday,25.25,26.22,1.11,,,,28.67,26.5,28.68,28.07,26.22,-0.39,26.22,30.82,4.15,0.81,21.8,0.33,2.5,0.32,0.93,2.78,7.2,,Holt's model ,MSE,76.99,w6,0.418077647
17,3/25/2022,Paneer 65,23,Friday,24.75,25.83,0.89,,,,25.67,27.83,32.28,28.51,25.83,-0.39,25.83,31.22,1.39,0.88,30.62,-2.67,-4.83,-9.28,-5.51,-2.83,-7.62,,,MAD,6.45,,
18,3/26/2022,Paneer 65,19,Saturday,23.58,25.44,0.75,,,,28.33,26.83,20.09,25.88,25.44,-0.39,25.44,29.74,-0.71,0.89,29.18,-9.33,-7.83,-1.09,-6.88,-6.44,-10.18,,,MAPE,0.37,,
19,3/28/2022,Paneer 65,27,Monday,20.25,25.05,1.08,,,,23.67,26.17,25.18,22.6,25.05,-0.39,25.05,23.57,-4.72,1.19,34.51,3.33,0.83,1.82,4.4,1.95,-7.51,,Winter's model ,MSE,79.1,,
20,3/29/2022,Paneer 65,20,Tuesday,17.17,24.67,0.81,,,,23,24.33,27.04,24.7,24.67,-0.39,24.67,20.77,-3.31,1.14,21.49,-3,-4.33,-7.04,-4.7,-4.67,-1.49,,,MAD,6,,
21,3/30/2022,Paneer 65,14,Wednesday,16.33,24.28,0.58,,,,22,25.17,21.83,22.46,24.28,-0.39,24.28,22.25,0.2,0.99,17.34,-8,-11.17,-7.83,-8.46,-10.28,-3.34,,,MAPE,0.33,,
22,3/31/2022,Paneer 65,8,Thursday,17.17,23.89,0.33,,,,20.33,22,16.68,18.42,23.89,-0.39,23.89,26.81,3.4,0.83,18.62,-12.33,-14,-8.68,-10.42,-15.89,-10.62,,,,,,
23,4/1/2022,Paneer 65,7,Friday,17.67,23.5,0.3,,,,14,18.5,15.77,13.44,23.5,-0.39,23.5,28.46,2.12,0.85,25.67,-7,-11.5,-8.77,-6.44,-16.5,-18.67,,,,,,
24,4/2/2022,Paneer 65,25,Saturday,17.92,23.12,1.08,,,,9.67,15.83,12.42,10.37,23.12,-0.39,23.12,27.75,0.04,0.87,26.72,15.33,9.17,12.58,14.63,1.88,-1.72,,,,,,
25,4/4/2022,Paneer 65,31,Monday,19.25,22.73,1.36,,,,13.33,16.83,21.11,17.35,22.73,-0.39,22.73,22.63,-3.75,1.12,31.17,17.67,14.17,9.89,13.65,8.27,-0.17,,,,,,
26,4/5/2022,Paneer 65,22,Tuesday,22,22.34,0.98,,,,21,17.5,22,23.87,22.34,-0.39,22.34,19.08,-3.6,1.17,22,1,4.5,0,-1.87,-0.34,0,,,,,,
27,4/6/2022,Paneer 65,15,Wednesday,23.5,21.96,0.68,,,,26,17.83,16.08,22.98,21.96,-0.39,21.96,19.26,-0.82,1.05,16.19,-11,-2.83,-1.08,-7.98,-6.96,-1.19,,,,,,
28,4/7/2022,Paneer 65,23,Thursday,23.58,21.57,1.07,,,,22.67,18,18.24,19.17,21.57,-0.39,21.57,22.95,2.48,0.86,15.91,0.33,5,4.76,3.83,1.43,7.09,,,,,,
29,4/8/2022,Paneer 65,25,Friday,23.67,21.18,1.18,,,,20,20.5,25,21,21.18,-0.39,21.18,25.34,2.42,0.84,21.29,5,4.5,0,4,3.82,3.71,,,,,,
30,4/9/2022,Paneer 65,25,Saturday,24.17,20.79,1.2,,,,21,23.5,23.91,22.91,20.79,-0.39,20.79,25.46,0.73,0.85,23.66,4,1.5,1.09,2.09,4.21,1.34,,,,,,
31,4/11/2022,Paneer 65,32,Monday,23.58,20.41,1.57,,,,24.33,23.5,21.7,23.91,20.41,-0.39,20.41,21.44,-2.76,1.06,27.74,7.67,8.5,10.3,8.09,11.59,4.26,,,,,,
32,4/12/2022,Paneer 65,22,Tuesday,22.42,20.02,1.1,,,,27.33,23.67,28.15,27.77,20.02,-0.39,20.02,17.62,-3.54,1.17,21.82,-5.33,-1.67,-6.15,-5.77,1.98,0.18,,,,,,
33,4/13/2022,Paneer 65,21,Wednesday,20.92,19.63,1.07,,,,26.33,23.67,22.69,25.02,19.63,-0.39,19.63,16.71,-1.61,1.1,15.43,-5.33,-2.67,-1.69,-4.02,1.37,5.57,,,,,,
34,4/14/2022,Paneer 65,10,Thursday,18.83,19.24,0.52,,,,25,24.67,22.57,23.1,19.24,-0.39,19.24,19.35,1.51,0.9,13.65,-15,-14.67,-12.57,-13.1,-9.24,-3.65,,,,,,
35,4/15/2022,Paneer 65,24,Friday,18.67,18.86,1.27,,,,17.67,22.5,18.86,16.84,18.86,-0.39,18.86,22.02,2.36,0.84,17.45,6.33,1.5,5.14,7.16,5.14,6.55,,,,,,
36,4/16/2022,Paneer 65,8,Saturday,20.08,18.47,0.43,,,,18.33,22.33,23.33,20.26,18.47,-0.39,18.47,22.86,1.25,0.83,20.31,-10.33,-14.33,-15.33,-12.26,-10.47,-12.31,,,,,,
37,4/18/2022,Paneer 65,24,Monday,21.17,18.08,1.33,,,,14,19.5,14.1,14.41,18.08,-0.39,18.08,19.95,-1.81,1,24.15,10,4.5,9.9,9.59,5.92,-0.15,,,,,,
38,4/19/2022,Paneer 65,28,Tuesday,20.67,17.69,1.58,,,,18.67,18.17,18.79,18.99,17.69,-0.39,17.69,16.24,-3.2,1.15,20.89,9.33,9.83,9.21,9.01,10.31,7.11,,,,,,
39,4/20/2022,Paneer 65,32,Wednesday,20.92,17.31,1.85,,,,20,19.17,26.14,23.29,17.31,-0.39,17.31,14.53,-2.11,1.14,14.84,12,12.83,5.86,8.71,14.69,17.16,,,,,,
40,4/21/2022,Paneer 65,12,Thursday,,16.92,0.71,,,,28,21,22.01,27.45,16.92,-0.39,16.92,16.09,0.59,0.95,11.83,-16,-9,-10.01,-15.45,-4.92,0.17,,,,,,
41,4/22/2022,Paneer 65,16,Friday,,16.53,0.97,,,,24,21.33,17.05,20.07,16.53,-0.39,16.53,18.63,2.02,0.85,14.13,-8,-5.33,-1.05,-4.07,-0.53,1.87,,,,,,
42,4/23/2022,Paneer 65,19,Saturday,,16.15,1.18,,,,20,20,19.91,18.13,16.15,-0.39,16.15,19.99,1.54,0.82,16.92,-1,-1,-0.91,0.87,2.85,2.08,,,,,,
,,,,,,,,,,,15.67,21.83,24.02,18.54,0,-8.35,15.76,6.76,-9.31,0.95,20.48,,,,,,,,,,,,
